🥇;ميدالية المركز الأول
🥈;ميدالية المركز الثاني
🥉;ميدالية المركز الثالث
🆎;أب
🏧;ماكينة الصراف الآلي
🅰;ا
🇦🇫;علم لأفغانستان
🇦🇱;علم لألبانيا
🇩🇿;العلم للجزائر
🇦🇸;العلم لساموا الأمريكية
🇦🇩;علم أندورا
🇦🇴;علم لانجولا
🇦🇮;علم أنغيلا
🇦🇶;علم القارة القطبية الجنوبية
🇦🇬;علم انتيجوا وبربودا
♒;الدلو
🇦🇷;علم الأرجنتين
♈;برج الحمل
🇦🇲;العلم لأرمينيا
🇦🇼;علم لأروبا
🇦🇨;العلم لجزيرة الصعود
🇦🇺;العلم لأستراليا
🇦🇹;علم النمسا
🇦🇿;العلم لأذربيجان
🔙;الى الخلف
🅱;ب
🇧🇸;علم جزر البهاما
🇧🇭;العلم للبحرين
🇧🇩;العلم لبنغلاديش
🇧🇧;العلم لبربادوس
🇧🇾;علم لبيلاروسيا
🇧🇪;علم لبلجيكا
🇧🇿;العلم لبليز
🇧🇯;العلم لبنين
🇧🇲;علم لبرمودا
🇧🇹;العلم لبوتان
🇧🇴;العلم لبوليفيا
🇧🇦;العلم للبوسنة والهرسك
🇧🇼;علم لبوتسوانا
🇧🇻;علم جزيرة بوفيت
🇧🇷;علم للبرازيل
🇮🇴;العلم لمنطقة المحيط الهندي البريطاني
🇻🇬;علم جزر فيرجن البريطانية
🇧🇳;العلم لبروناى
🇧🇬;العلم لبلغاريا
🇧🇫;علم لبوركينا فاسو
🇧🇮;العلم لبوروندي
🆑;البنود
🆒;بارد
🇰🇭;العلم لكمبوديا
🇨🇲;علم الكاميرون
🇨🇦;العلم لكندا
🇮🇨;علم جزر الكناري
♋;سرطان
🇨🇻;علم للرأس الأخضر
♑;الجدي
🇧🇶;العلم لمنطقة البحر الكاريبي هولندا
🇰🇾;علم جزر كايمان
🇨🇫;علم لجمهورية أفريقيا الوسطى
🇪🇦;علم سبتة ومليلية
🇹🇩;العلم لتشاد
🇨🇱;العلم لشيلي
🇨🇳;العلم للصين
🇨🇽;العلم لجزيرة الكريسماس
🎄;شجرة عيد الميلاد
🇨🇵;علم لجزيرة كليبرتون
🇨🇨;علم لجزر كوكوس
🇨🇴;علم لكولومبيا
🇰🇲;علم جزر القمر
🇨🇬;علم الكونغو الكونغو برازافيل
🇨🇩;علم الكونغو الكونغو كينشاسا
🇨🇰;علم جزر كوك
🇨🇷;علم لكوستاريكا
🇭🇷;العلم لكرواتيا
🇨🇺;علم لكوبا
🇨🇼;علم لكوراساو
🇨🇾;العلم لقبرص
🇨🇿;العلم لجمهورية التشيك
🇨🇮;علم لكوت ديفوار
🇩🇰;العلم للدنمارك
🇩🇬;العلم لدييغو غارسيا
🇩🇯;العلم لجيبوتي
🇩🇲;علم لدومينيكا
🇩🇴;العلم لجمهورية الدومينيكان
🔚;النهاية
🇪🇨;علم الاكوادور
🇪🇬;العلم لمصر
🇸🇻;علم للسلفادور
🏴󠁧󠁢󠁥󠁮󠁧󠁿;إنكلترا
🇬🇶;علم لغينيا الاستوائية
🇪🇷;علم لإريتريا
🇪🇪;علم استونيا
🇪🇹;العلم لإثيوبيا
🇪🇺;العلم للاتحاد الأوروبي
